Order_ID,Order_Date,Region,Category,Product,Quantity,Unit_Price,Unit_Cost,Customer_Segment
ORD00001,2025-10-09,South,Electronics,Wireless Mouse,1,26.38,12.79,Consumer
ORD00002,2026-03-09,North,Electronics,Webcam,2,73.52,37.18,Consumer
ORD00003,2025-08-14,East,Furniture,Desk Lamp,1,51.44,22.33,Consumer
ORD00004,2025-10-12,North,Home & Kitchen,Storage Set,6,31.98,14.99,Small Business
ORD00005,2025-09-28,West,Office Supplies,Desk Organizer,10,22.68,10.7,Corporate
ORD00006,2025-10-28,West,Electronics,Webcam,7,74.55,40.62,Corporate
ORD00007,2025-10-24,Central,Electronics,Mechanical Keyboard,2,84.66,48.43,Small Business
ORD00008,2026-01-15,South,Office Supplies,Printer Paper,12,11.55,4.12,Corporate
ORD00009,2025-06-17,East,Furniture,Standing Desk,5,375.93,253.0,Consumer
ORD00010,2025-02-02,West,Electronics,Mechanical Keyboard,1,81.79,51.48,Consumer
ORD00011,2026-05-27,South,Office Supplies,Printer Paper,8,10.43,3.87,Small Business
ORD00012,2025-09-27,West,Accessories,Backpack,5,67.99,30.33,Consumer
ORD00013,2025-04-04,West,Furniture,Desk Lamp,3,50.18,24.22,Small Business
ORD00014,2026-01-30,South,Home & Kitchen,Coffee Maker,5,105.85,59.47,Small Business
ORD00015,2025-10-01,West,Electronics,Wireless Mouse,3,25.17,12.11,Consumer
ORD00016,2026-06-04,Central,Office Supplies,Printer Paper,5,11.97,,Small Business
ORD00017,2026-01-18,West,Furniture,Standing Desk,5,430.44,262.11,Consumer
ORD00018,2025-04-25,Central,Home & Kitchen,Coffee Maker,5,91.95,54.95,Small Business
ORD00019,2025-03-29,West,Accessories,Laptop Stand,10,52.59,21.27,Corporate
ORD00020,2025-09-29,East,Home & Kitchen,Electric Kettle,5,57.5,29.35,Corporate
ORD00021,2026-02-13,Central,Furniture,Bookshelf,9,159.49,88.77,Corporate
ORD00022,2025-03-07,South,Furniture,Standing Desk,5,404.7,242.49,Corporate
ORD00023,2025-03-11,Central,Electronics,Mechanical Keyboard,2,86.94,47.34,Small Business
ORD00024,2025-05-16,West,Home & Kitchen,Electric Kettle,8,50.37,28.32,Small Business
ORD00025,2025-04-07,North,Home & Kitchen,Electric Kettle,4,52.12,29.74,Consumer
ORD00026,2025-03-04,East,Electronics,Wireless Mouse,1,24.24,11.7,Consumer
ORD00027,2026-03-09,North,Home & Kitchen,Electric Kettle,1,52.45,29.74,Consumer
ORD00028,2025-02-21,West,Accessories,Laptop Stand,1,54.58,23.55,Consumer
ORD00029,2026-02-21,East,Furniture,Standing Desk,4,429.19,247.71,Consumer
ORD00030,2025-09-29,Central,Electronics,USB-C Hub,6,38.17,20.41,Corporate
ORD00031,2026-05-14,North,Accessories,Backpack,1,70.44,31.64,Consumer
ORD00032,2025-02-21,East,Office Supplies,Notebook Set,5,15.22,6.45,Consumer
ORD00033,2025-03-12,East,Electronics,Mechanical Keyboard,5,85.06,51.48,Corporate
ORD00034,2025-02-10,West,Accessories,Laptop Stand,5,50.62,21.8,Consumer
